Unnamed: 0,filename,caption,filepath,generated_caption
0,test_1.jpg,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it. ,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_1.jpg,"User:<image>Describe this image

The image depicts a modern, spacious building with a flat roof and a large, flat facade. The building is constructed with a combination of glass and metal, giving it a sleek and contemporary appearance. The facade is divided into multiple horizontal sections, each with a different pattern of vertical slats. These slats create a sense of depth and dimension, while also providing a degree of privacy and protection for the interior.

In the foreground, there is a paved area with a few vehicles parked. A white van is parked on the left side of the image, and a black sedan is parked on the right side. A motorcycle is parked in the center of the paved area. There are also several pedestrians walking on the sidewalk, and a few"
1,test_2.jpg,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands. ,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_2.jpg,"User:<image>Describe this image

The image depicts a skier mid-air against a vivid blue sky. The skier is captured in a dynamic pose, mid-stride, with their skis slicing through the snow. The skier is dressed in a bright yellow jacket, which stands out against the blue background. The jacket is partially obscured by a black and white striped pattern, adding a layer of complexity to the skier's attire. The skier is also wearing a black helmet and goggles, which are essential for safety in such conditions.

The skier's body is positioned in a way that suggests they are in a high-speed, dynamic motion. The skis are angled, indicating a sharp turn or a rapid change in direction. The skier's"
2,test_3.jpg,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf. ,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_3.jpg,"User:<image>Describe this image

The image depicts a bedroom with a sliding glass door that is open, revealing a view of the backyard. The room is furnished with a bed, a nightstand, and a large bookshelf. The bed is made with a yellow bedspread and a brown blanket, and it is positioned against a wall with a framed painting. The nightstand is made of wood and has a small shelf on top, which holds a few books and a decorative item. The bookshelf is filled with various books and other items, including a record player.

The room has a flat stone floor, which is a common feature in mid-century modern homes. The walls are painted in a light brown color, and the ceiling is flat and painted in a similar"
3,test_4.jpg,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it. ,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_4.jpg,"User:<image>Describe this image

The image depicts a steam locomotive train, likely a model or a replica, situated on a railway track. The train is primarily composed of a locomotive engine and several passenger cars. The locomotive engine is red and black, with a distinctive design that includes a large smokestack and a funnel-like structure. The passenger cars are red and have a classic design, with windows and a roof that appears to be made of wood or a similar material.

The train is situated on a track that is surrounded by gravel and a small embankment. The track is elevated above the surrounding area, which is covered in trees and shrubs. There is a bridge in the background, which is likely part of the railway infrastructure. The bridge is made of"
4,test_5.jpg,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.",/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_5.jpg,"User:<image>Describe this image

The image depicts a city street scene with a bus and a car parked in front of a store. The bus is positioned in the foreground, facing the right side of the image. It is a large, yellow and white vehicle with a prominent sign on its front bumper that reads ""Pretended Ones."" The sign is blue and white, with bold, sans-serif text. The bus also has a number of windows, which are partially visible in the image.

In the background, there is a store with a large sign that reads ""URBAN OUTFITTERS."" The storefront is a large, modern building with a glass facade. The building is painted in a light brown color, and the sign"
5,test_6.jpg,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof. ,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_6.jpg,"User:<image>Describe this image

The image depicts a quaint, rural scene featuring a house and its surroundings. The house is a small, one-story structure with a dark roof and white walls. The walls are painted in a light blue color, and the roof is a dark gray slate. The house has a single door and two windows, both of which are framed in dark brown.

In front of the house, there is a lush, green lawn. The lawn is well-maintained, and it appears to be recently mowed. There are several sheep grazing on the lawn. The sheep are white with some patches of black or brown, and they are all facing the same direction. The sheep are of different sizes, with the largest ones being in the middle"
6,test_7.jpg,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room. ,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_7.jpg,"User:<image>Describe this image

The image depicts a man standing in a room, holding a white Wii remote controller in his right hand and a white Wii nunchuck controller in his left hand. He is wearing glasses and a red t-shirt with a yellow logo on it. The man is standing in front of a white wall, with a fireplace and a red chair visible in the background. The room is lit by a bright light source, which is positioned above the man's head.

The Wii remote controller is a handheld device used for playing Wii games. It has a white body with a black directional pad and four black buttons. The Wii nunchuck controller is a smaller device connected to the Wii remote controller. It has a"
7,test_8.jpg,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_8.jpg,"User:<image>Describe this image

This image depicts a scene on a city street with a few vehicles and cyclists. The street is divided into two lanes, one for cars and the other for cyclists. The cyclists are riding on the right side of the street, while the cars are on the left side. The cyclists are wearing helmets and are riding their bicycles. The vehicles include a red car, a white truck, and a blue truck. The red car is parked on the side of the street, while the white truck and the blue truck are driving on the street. The street is lined with trees and grass, and there is a green fire hydrant on the left side of the image. The image is clear and well-lit, and the colors are vibrant. The cyclists"
8,test_9.jpg,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_9.jpg,"User:<image>Describe this image
- A collection of four cell phones and a knife are laid out on a dark surface. The cell phones are placed in a line, with the Blackberry in the center, and the other three are to the left and right of it. The Blackberry is a BlackBerry Curve 9320, and it is black with a full keyboard. The other three phones are all black, and they are placed in a line to the left and right of the Blackberry. The knife is black and has a silver blade. The knife is placed in the center of the collection of phones."
9,test_10.jpg,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.",/kaggle/input/dl-assign-2/custom_captions_dataset/test/test_10.jpg,"User:<image>Describe this image

The image depicts a mannequin head and a clock. The mannequin head is positioned on the left side of the image and is facing the viewer. It has a black top hat on its head, which is slightly tilted to the right. The mannequin head has a light skin tone, dark eyebrows, and dark eyelashes. Its eyes are dark and its lips are slightly parted. The mannequin head is wearing a white shirt.

The clock is positioned on the right side of the image and is partially visible. The clock has a black frame with ornate designs and a white dial. The clock hands are pointing to the numbers 12 and 6, indicating that the time is approximately 2:3"
